"id","type","model","model_id","site_id","content_id","content_filter_id","lft","rght","title","detail","url","status","priority","created","modified"
"1","ページ","Page","1","0","4","","6","7","トップページ","ABOUT弊社の特徴ハイクオリティを提供詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。お客様の要望を叶える詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。業界NO.1の実績詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/index","1","0.5","2016-10-06 01:35:44","2016-10-06 01:35:44"
"2","ページ","Page","2","0","6","","11","12","このテーマについて","BCCOLUMNレイアウト変更方法baserCMSテーマBCCOLUMNは、レイアウトファイルを選択することで、１カラム・２カラム左サイド・２カラム右サイドを簡単に切り替えることが可能です。ブログのレイアウト変更方法ブログの設定画面　＞　オプションを開く　＞　レイアウトテンプレート名を選択1カラム：「default」2カラム右サイドバー：「right_column」2カラム左サイドバー：「left_column」固定ページカテゴリのレイアウト変更方法固定ページ管理　＞　カテゴリー情報編集　＞　オプションを開く　＞　レイアウトテンプレートを選択1カラム：「default」2カラム右サイドバー：「right_column」2カラム左サイドバー：「left_column」固定ページ１ページだけのレイアウト変更方法固定ページ情報編集　＞　オプションを開く　＞　コードエリアにスクリプトを記述1カラム：記述無し2カラム右サイドバー：「&lt;?php $this-&gt;layout = &#39;right_column&#39; ?&gt;」2カラム左サイドバー：「&lt;?php $this-&gt;layout = &#39;left_column&#39; ?&gt;」&nbsp;BCCOLUMNテーマカスタマイズ方法また、管理画面から簡単にロゴやテーマカラー、メイン画像を変更することも可能です。テーマ管理　＞　テーマ設定テーマカラーの変更方法カラーピッカーでお好みの色を選択してくださいメイン：フッター部分コンタクト背景・ボタンの色サブ：サイドナビタイトル背景テキストリンク：リンクカラー」テキストホバー：マウスオーバー時リンクカラー」ロゴの変更方法制作するサイトのロゴをアップしてくださいメイン画像の変更方法メイン画像は大きめがおすすめです&nbsp;そして、基本的なパーツレイアウトが揃っているので、簡単にブログや固定ページを追加することができます。パーツデザインのページをご参考ください。","/concept/index","1","0.5","2016-10-06 01:35:48","2016-10-06 01:35:48"
"3","ページ","Page","3","0","7","","13","14","左サイド2カラム","見出し２テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。 　 &gt; テキストリンク項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目項目項目項目項目項目テキストが入ります。&gt; テキストリンクテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。見出し3◆リストテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。●リストテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。ボタン小中大ボタン１ボタン２ボタン３見出し4テキストが入ります。テキストが入ります。テキストが入ります。","/concept/left","1","0.5","2016-10-06 01:35:52","2016-10-06 01:35:52"
"4","ページ","Page","4","0","8","","15","16","右サイド2カラム","見出し２テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。 　 &gt; テキストリンク項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目項目項目項目項目項目テキストが入ります。&gt; テキストリンクテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。見出し3◆リストテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。●リストテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。ボタン小中大ボタン１ボタン２ボタン３見出し4テキストが入ります。テキストが入ります。テキストが入ります。","/concept/right","1","0.5","2016-10-06 01:35:56","2016-10-06 01:35:56"
"5","ページ","Page","5","0","9","","17","18","1カラム(パーツ一覧)","見出し２テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テーブル項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。class=&quot;table-style&quot;項目テキストが入ります。テキストが入ります。テキストが入ります。 　 &gt; テキストリンク項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。項目テキストが入ります。テキストが入ります。テキストが入ります。class=&quot;horizon&quot;項目項目項目項目項目項目テキストが入ります。&gt; テキストリンクテキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。見出し3◆リスト class=&quot;list-square&quot;テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。●リスト class=&quot;list-circle&quot;テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。テキストが入ります。ボタン小 class=&quot;btn btn-small&quot;ボタン１&nbsp;ボタン中 class=&quot;btn btn-midium&quot;ボタン２&nbsp;&nbsp;ボタン大 class=&quot;btn btn-big&quot;ボタン３&nbsp;見出し4テキストが入ります。テキストが入ります。テキストが入ります。","/concept/parts","1","0.5","2016-10-06 01:35:59","2016-10-06 01:35:59"
"6","ページ","Page","6","0","10","","24","25","会社案内","会社案内ご挨拶サイトによっては、左サイドバーが良かったり右サイドバーが良かったり、またはサイドバーがなくてもよかったりすることがあります。このテーマには左右サイドの2カラムと1カラムの3つのレイアウトを選択できるようになっているのでbaserCMSのレイアウト選択機能で、簡単に切り替えることが可能です。ブログ毎、カテゴリー毎、個別に設定する方法をテーマの中に説明したページを作成しましたのでご参考ください。http://bccolumn.komomo.biz/concept/indexデザインは、どんなサイトにも使っていただけるよう、シンプルでカッコいいを目指しています。白黒ベースが基本ですが、ポイントカラーを管理画面のテーマ設定から変更できるようにしています。また、固定ページの追加や、ブログ記事を書くときに使える、classを追加すると表示できるパーツデザインをご用意いたしました。http://bccolumn.komomo.biz/concept/partsトップページの実績・NEWS・BLOGの3カ所は、baserCMSのブログ機能を活かして、最新記事を取得するように設計しています。会社概要会社名baserCMS inc. [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）","/about","1","0.5","2016-10-06 01:36:03","2016-10-06 01:36:03"
"7","メール","MailContent","1","0","11","","26","27","お問い合わせ","* 印の項目は必須となりますので、必ず入力してください。","/contact","1","0.5","2016-10-06 01:36:05","2016-10-06 01:36:05"
"8","ブログ","BlogContent","1","0","12","","8","9","新着情報","baserCMS inc. [デモ] の最新の情報をお届けします。","/news","1","0.5","2016-10-06 01:36:09","2016-10-06 01:36:09"
"9","ブログ","BlogPost","1","0","12","1","8","9","最新情報が入ります。最新情報が入ります。最新情報が入ります。","本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。&nbsp; 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news/archives/1","1","0.5","2016-10-06 01:36:09","2016-10-06 01:36:45"
"10","ブログ","BlogPost","2","0","12","1","8","9","最新情報が入ります。最新情報が入ります。最新情報が入ります。","新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。&nbsp;","/news/archives/2","1","0.5","2016-10-06 01:36:09","2016-10-06 01:36:42"
