id,site_id,name,plugin,type,url,parent_id,lft,rght,title,status,created,description,eyecatch,author_id,created_date,modified_date,publish_begin,publish_end,exclude_search,modified,entity_id,alias_id,site_root,deleted_date,deleted,layout_template,main_site_content_id,level,self_status,self_publish_begin,self_publish_end,exclude_menu,blank_link
1,0,,Core,ContentFolder,/,,1,40,baserCMS inc. [デモ],1,,,,1,,,,,,,1,,1,,,default,,0,1,,,,
2,1,m,Core,ContentFolder,/m/,1,2,9,baserCMS inc.｜ケータイ,0,,,,1,,,,,,,2,,1,,,default,1,1,,,,,
3,2,s,Core,ContentFolder,/s/,1,10,25,baserCMS inc.｜スマホ,0,,,,1,,,,,,,3,,1,,,default,1,1,,,,,
4,0,index,Core,Page,/index,1,26,27,トップページ,1,,,,1,,,,,,,1,,,,,,,1,1,,,,
5,0,about,Core,Page,/about,1,34,35,会社案内,1,,,,1,,,,,,,2,,,,,,,1,1,,,,
6,0,service,Core,Page,/service,1,30,31,サービス,1,,,,1,,,,,,,3,,,,,,,1,1,,,,
7,0,icons,Core,Page,/icons,1,32,33,アイコンの使い方,1,,,,1,,,,,,,4,,,,,,,1,1,,,,
8,0,sitemap,Core,Page,/sitemap,1,38,39,サイトマップ,1,,,,1,,,,,,,5,,,,,,,1,1,,,,
9,1,index,Core,Page,/m/index,2,3,4,トップページ,1,,,,1,,,,,,,6,,,,,,4,2,1,,,,
10,2,index,Core,Page,/s/index,3,11,12,トップページ,1,,,,1,,,,,,,7,,,,,,4,2,1,,,,
11,2,about,Core,Page,/s/about,3,19,20,会社案内,1,,,,1,,,,,,,8,,,,,,5,2,1,,,,
12,2,service,Core,Page,/s/service,3,15,16,サービス,1,,,,1,,,,,,,9,,,,,,6,2,1,,,,
13,2,icons,Core,Page,/s/icons,3,17,18,アイコンの使い方,1,,,,1,,,,,,,10,,,,,,7,2,1,,,,
14,2,sitemap,Core,Page,/s/sitemap,3,23,24,サイトマップ,1,,,,1,,,,,,,11,,,,,,8,2,1,,,,
15,0,contact,Mail,MailContent,/contact/,1,36,37,お問い合わせ,1,,,,1,,,,,,,1,,,,,,,1,1,,,,
16,0,news,Blog,BlogContent,/news/,1,28,29,新着情報,1,,,,1,,,,,,,1,,,,,,,1,1,,,,
17,1,contact,Mail,MailContent,/m/contact/,2,5,6,お問い合わせ,1,,,,1,,,,,,,1,15,,,,,15,2,1,,,,
18,2,contact,Mail,MailContent,/s/contact/,3,21,22,お問い合わせ,1,,,,1,,,,,,,1,15,,,,,15,2,1,,,,
19,1,news,Blog,BlogContent,/m/news/,2,7,8,新着情報,1,,,,1,,,,,,,1,16,,,,,16,2,1,,,,
20,2,news,Blog,BlogContent,/s/news/,3,13,14,新着情報,1,,,,1,,,,,,,1,16,,,,,16,2,1,,,,
