"id","no","sort","name","user_group_id","url","auth","status","modified","created"
"1","1","1","システム管理","2","/admin/*","0","1","",""
"2","2","2","ページ管理","2","/admin/pages/*","1","1","",""
"3","3","3","ページテンプレート読込","2","/admin/pages/*_page_files","0","1","",""
"4","4","4","ページカテゴリ管理","2","/admin/page_categories/*","1","1","",""
"5","5","5","ニュース基本設定","2","/admin/blog/blog_contents/edit/1","1","1","",""
"6","6","6","ニュース記事管理","2","/admin/blog/blog_posts/*/1/*","1","1","",""
"7","7","7","ニュース記事プレビュー","2","/admin/blog/preview/1/*","1","1","",""
"8","8","8","ニュースカテゴリ管理","2","/admin/blog/blog_categories/*/1/*","1","1","",""
"9","9","9","ブログタグ管理","2","/admin/blog/blog_tags/*","1","1","",""
"10","10","10","お問い合わせ基本設定","2","/admin/mail/mail_contents/edit/1","1","1","",""
"11","11","11","お問い合わせ管理","2","/admin/mail/mail_fields/*/1/*","1","1","",""
"12","12","12","お問い合わせ受信メール一覧","2","/admin/mail/mail_messages/*/1/*","1","1","",""
