"id","name","value","created","modified"
"","name","baserCMS inc. [ƒfƒ‚]","",""
"","keyword","","",""
"","description","","",""
"","address","","",""
"","theme","demo","",""
"","email","","",""
"","widget_area","","",""
"","maintenance","0","",""
"","mail_encode","ISO-2022-JP","",""
"","smtp_host","","",""
"","smtp_user","","",""
"","smtp_password","","",""
"","formal_name","baserCMS inc. [ƒfƒ‚]","",""
"","mobile","1","",""
"","admin_list_num","10","",""
"","google_analytics_id","","",""
"","content_categories","","",""
"","content_types","","",""
"","root_owner_id","","",""
"","category_permission","","",""
"","admin_theme","","",""
"","login_credit","1","",""
"","first_access","1","",""
