"id","name","value","created","modified"
"1","logo","","2015-06-26 20:34:06",""
"2","logo_alt","baserCMS","2015-06-26 20:34:06","2015-06-29 13:28:10"
"3","logo_link","/","2015-06-26 20:34:06","2015-06-29 13:28:10"
"4","main_image_1","","2015-06-26 20:34:07",""
"5","main_image_alt_1","コーポレートサイトにちょうどいい国産CMS","2015-06-26 20:34:07","2015-06-29 13:28:10"
"6","main_image_link_1","/","2015-06-26 20:34:07","2015-06-29 13:28:10"
"7","main_image_2","","2015-06-26 20:34:07",""
"8","main_image_alt_2","全て日本語の国産CMSだから、設置も更新も簡単、わかりやすい。","2015-06-26 20:34:07","2015-06-29 13:28:10"
"9","main_image_link_2","/","2015-06-26 20:34:07","2015-06-29 13:28:10"
"10","main_image_3","","2015-06-26 20:34:07",""
"11","main_image_alt_3","標準的なWebサイトに必要な基本機能を全て装備","2015-06-26 20:34:07","2015-06-29 13:28:10"
"12","main_image_link_3","/","2015-06-26 20:34:07","2015-06-29 13:28:10"
"13","main_image_4","","2015-06-26 20:34:07",""
"14","main_image_alt_4","デザインも自由自在にカスタマイズ可能！","2015-06-26 20:34:07","2015-06-29 13:28:10"
"15","main_image_link_4","/","2015-06-26 20:34:07","2015-06-29 13:28:10"
"16","main_image_5","","2015-06-26 20:34:07",""
"17","main_image_alt_5","質問・ご相談はユーザーズフォーラムへ","2015-06-26 20:34:07","2015-06-29 13:28:10"
"18","main_image_link_5","/","2015-06-26 20:34:07","2015-06-29 13:28:10"
"19","color_main","e371e3","2015-06-26 20:34:07","2015-06-29 13:28:10"
"20","color_sub","21b537","2015-06-26 20:34:07","2015-06-29 13:28:10"
"21","color_link","1808f5","2015-06-26 20:34:07","2015-06-29 13:28:10"
"22","color_hover","ed8815","2015-06-26 20:34:07","2015-06-29 13:28:10"
