"id","no","sort","name","user_group_id","url","auth","status","modified","created"
"1","1","1","システム管理","2","/admin/*","","1","",""
"2","2","2","よく使う項目","2","/admin/favorites/*","1","1","",""
"3","3","3","ページ管理","2","/admin/pages/*","1","1","",""
"4","4","4","ページテンプレート読込・書出","2","/admin/pages/*_page_files","","1","",""
"5","5","5","新着情報記事管理","2","/admin/blog/blog_posts/*","1","1","",""
"6","6","6","新着情報カテゴリ管理","2","/admin/blog/blog_categories/*","1","1","",""
"7","7","7","新着情報コメント一覧","2","/admin/blog/blog_comments/*","1","1","",""
"8","8","8","ブログタグ管理","2","/admin/blog/blog_tags/*","1","1","",""
"9","9","9","お問い合わせ管理","2","/admin/mail/mail_fields/*","1","1","",""
"10","10","10","お問い合わせ受信メール一覧","2","/admin/mail/mail_messages/*","1","1","",""
"11","11","11","エディタテンプレート呼出","2","/admin/editor_templates/js","1","1","",""
"12","12","12","アップローダー","2","/admin/uploader/*","1","1","",""
"13","13","13","コンテンツ管理","2","/admin/contents/*","1","1","",""
"14","14","14","リンク管理","2","/admin/content_links/*","1","1","",""
