"id","name","value","created","modified"
"1","large_width","500","2016-05-13 16:21:30",""
"2","large_height","500","2016-05-13 16:21:30",""
"3","midium_width","300","2016-05-13 16:21:30",""
"4","midium_height","300","2016-05-13 16:21:30",""
"5","small_width","150","2016-05-13 16:21:30",""
"6","small_height","150","2016-05-13 16:21:30",""
"7","small_thumb","1","2016-05-13 16:21:30",""
"8","mobile_large_width","240","2016-05-13 16:21:30",""
"9","mobile_large_height","240","2016-05-13 16:21:30",""
"10","mobile_small_width","100","2016-05-13 16:21:30",""
"11","mobile_small_height","100","2016-05-13 16:21:30",""
"12","mobile_small_thumb","1","2016-05-13 16:21:30",""
"13","use_permission","0","2016-05-13 16:21:30",""
"14","layout_type","panel","2016-05-13 16:21:30",""
