"id","no","sort","name","user_group_id","url","auth","status","modified","created"
"1","1","1","システム管理","2","/admin/*","","1","","2015-09-30 01:21:40"
"2","2","2","よく使う項目","2","/admin/favorites/*","1","1","","2015-09-30 01:21:40"
"3","3","3","ページ管理","2","/admin/pages/*","1","1","","2015-09-30 01:21:40"
"4","4","4","ページテンプレート読込・書出","2","/admin/pages/*_page_files","","1","","2015-09-30 01:21:40"
"5","5","5","ページカテゴリ管理","2","/admin/page_categories/*","1","1","","2015-09-30 01:21:40"
"6","6","6","新着情報基本設定","2","/admin/blog/blog_contents/edit/1","1","1","","2015-09-30 01:21:40"
"7","7","7","新着情報記事管理","2","/admin/blog/blog_posts/*/1/*","1","1","","2015-09-30 01:21:40"
"8","8","8","新着情報記事プレビュー","2","/admin/blog/blog/preview/1/*","1","1","","2015-09-30 01:21:40"
"9","9","9","新着情報カテゴリ管理","2","/admin/blog/blog_categories/*/1/*","1","1","","2015-09-30 01:21:40"
"10","10","10","新着情報コメント一覧","2","/admin/blog/blog_comments/*/1/*","1","1","","2015-09-30 01:21:40"
"11","11","11","ブログタグ管理","2","/admin/blog/blog_tags/*","1","1","","2015-09-30 01:21:40"
"12","12","12","お問い合わせ基本設定","2","/admin/mail/mail_contents/edit/1","1","1","","2015-09-30 01:21:40"
"13","13","13","お問い合わせ管理","2","/admin/mail/mail_fields/*/1/*","1","1","","2015-09-30 01:21:40"
"14","14","14","お問い合わせ受信メール一覧","2","/admin/mail/mail_messages/*/1/*","1","1","","2015-09-30 01:21:40"
"15","15","15","エディタテンプレート呼出","2","/admin/editor_templates/js","1","1","","2015-09-30 01:21:40"
"16","16","16","アップローダー","2","/admin/uploader/*","1","1","","2015-09-30 01:21:40"
