"id","type","model","model_id","site_id","content_id","content_filter_id","lft","rght","title","detail","url","status","priority","created","modified"
"1","ページ","Page","1","0","4","","26","27","トップページ","NEWS RELEASE2015.11.19ホームページをオープンしました2015.11.19新商品を販売を開始しました。baserCMS NEWS","/index","1","0.5","2016-10-06 01:39:56","2016-10-06 01:39:56"
"2","ページ","Page","2","0","5","","34","35","会社案内","会社案内会社データ会社名baserCMS inc. [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）アクセスマップGoogleマップを利用するには、Google Maps APIのキーの登録が必要です。キーを取得して、システム管理より設定してください。※ JavaScript を有効にしてください。Googleマップを利用するには、Google Maps APIのキーの登録が必要です。キーを取得して、システム管理より設定してください。var latlng = new google.maps.LatLng(33.6065756,130.4182970);var options = {zoom: 16,center: latlng,mapTypeId: google.maps.MapTypeId.ROADMAP,navigationControl: true,mapTypeControl: true,scaleControl: true,scrollwheel: false,};var map = new google.maps.Map(document.getElementById(""map""), options);var marker = new google.maps.Marker({position: latlng,map: map,title:""baserCMS inc.""});var infowindow = new google.maps.InfoWindow({content: 'baserCMS inc.福岡県'});infowindow.open(map,marker);google.maps.event.addListener(marker, 'click', function() {infowindow.open(map,marker);});","/about","1","0.5","2016-10-06 01:40:01","2016-10-06 01:40:01"
"3","ページ","Page","3","0","6","","30","31","サービス","サービスサービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/service","1","0.5","2016-10-06 01:40:04","2016-10-06 01:40:04"
"4","ページ","Page","4","0","7","","32","33","アイコンの使い方","アイコンの使い方50種類のアイコンを自由にカスタマイズしよう。&nbsp;&nbsp;まずは、nada-works-png.zip をダウンロードして解凍します。&nbsp;&nbsp;icons_ico_.pngをFireworksで開くと下記の50種類のアイコンがレイヤー分けされています。&nbsp;&nbsp;&nbsp;&nbsp;カスタマイズ1：ベースの形を変える。&nbsp;&nbsp;&nbsp;カスタマイズ2：色を変える。&nbsp;&nbsp;&nbsp;カスタマイズ3：パスを使って変形させる。（上級者向け）パスで作成しています。自由に変形させることが可能です。&nbsp;&nbsp;&nbsp;&nbsp;パターン例：各コンテンツで色を変える。同じアイコンを使用する、など&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;文字と写真を変えるだけで完成！かんたんバナーを作ろう。&nbsp;&nbsp;icons_banner_00.png、icons_banner_l_00.pngをFireworksで開くと各要素をレイヤー分けされています。言葉、フォント、色、画像を変更してオリジナルのバナーを作成することができます。画像は「シンボル」にて配置しています。差し替えたい画像をシンボル化し、「シンボルを入れ替え」にて差し替えてご使用ください。&nbsp;&nbsp;例：言葉、フォントの変更、画像差し替え&nbsp;","/icons","1","0.5","2016-10-06 01:40:08","2016-10-06 01:40:08"
"5","ページ","Page","5","0","8","","38","39","サイトマップ","サイトマップトップページ新着情報サービスアイコンの使い方会社案内お問い合わせサイトマップ","/sitemap","1","0.5","2016-10-06 01:40:12","2016-10-06 01:40:12"
"6","メール","MailContent","1","0","15","","36","37","お問い合わせ","* 印の項目は必須となりますので、必ず入力してください。","/contact","1","0.5","2016-10-06 01:40:15","2016-10-06 01:40:15"
"7","ブログ","BlogContent","1","0","16","","28","29","新着情報","baserCMS inc. [デモ] の最新の情報をお届けします。","/news","1","0.5","2016-10-06 01:40:18","2016-10-06 01:40:18"
"8","ブログ","BlogPost","1","0","16","1","28","29","ホームページをオープンしました","本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news/archives/1","1","0.5","2016-10-06 01:40:18","2016-10-06 01:40:18"
"9","ブログ","BlogPost","2","0","16","1","28","29","新商品を販売を開始しました。","新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news/archives/2","1","0.5","2016-10-06 01:40:18","2016-10-06 01:40:18"
"10","ページ","Page","6","1","9","","3","4","トップページ","メインメニュー■ ニュースリリース■ お問い合わせNEWS RELEASE2015.11.19ホームページをオープンしました2015.11.19新商品を販売を開始しました。&nbsp;baserCMS NEWS 2016.09.29オープンソースカンファレンス 2016 島根 出展レポート！  2016.09.29baserCMS 3.0.11 のパッケージングミスについて  2016.09.28baserCMS 3.0.11.1?がリリースされました  2016.09.20baserCMS４リリース延期のお知らせ  2016.09.15「オープンソースカンファレンス2016 Nagaoka」に出展します","/m/index","1","0.5","2016-10-06 01:41:03","2016-10-06 01:41:03"
