"id","name","value","created","modified"
"","logo","","",""
"","logo_alt","baserCMS","",""
"","logo_link","/","",""
"","main_image_1","","",""
"","main_image_alt_1","コーポレートサイトにちょうどいい国産CMS","",""
"","main_image_link_1","/","",""
"","main_image_2","","",""
"","main_image_alt_2","全て日本語の国産CMSだから、設置も更新も簡単、わかりやすい。","",""
"","main_image_link_2","/","",""
"","main_image_3","","",""
"","main_image_alt_3","標準的なWebサイトに必要な基本機能を全て装備","",""
"","main_image_link_3","/","",""
"","main_image_4","","",""
"","main_image_alt_4","デザインも自由自在にカスタマイズ可能！","",""
"","main_image_link_4","/","",""
"","main_image_5","","",""
"","main_image_alt_5","質問・ご相談はユーザーズフォーラムへ","",""
"","main_image_link_5","/","",""
"","color_main","","",""
"","color_sub","","",""
"","color_link","","",""
"","color_hover","","",""
