"id","name","value","created","modified"
"1","large_width","500","",""
"2","large_height","500","",""
"3","midium_width","300","",""
"4","midium_height","300","",""
"5","small_width","150","",""
"6","small_height","150","",""
"7","small_thumb","1","",""
"8","mobile_large_width","240","",""
"9","mobile_large_height","240","",""
"10","mobile_small_width","100","",""
"11","mobile_small_height","100","",""
"12","mobile_small_thumb","1","",""
"13","use_permission","0","",""
"14","layout_type","panel","",""
