"id","name","value","created","modified"
"1","logo","","2015-06-26 20:34:06",""
"2","logo_alt","baserCMS","2015-06-26 20:34:06","2020-09-14 21:32:21"
"3","logo_link","/","2015-06-26 20:34:06","2020-09-14 21:32:21"
"4","main_image_1","","2015-06-26 20:34:07",""
"5","main_image_alt_1","コーポレートサイトにちょうどいい国産CMS","2015-06-26 20:34:07","2020-09-14 21:32:21"
"6","main_image_link_1","/","2015-06-26 20:34:07","2020-09-14 21:32:21"
"7","main_image_2","","2015-06-26 20:34:07",""
"8","main_image_alt_2","全て日本語の国産CMSだから、設置も更新も簡単、わかりやすい。","2015-06-26 20:34:07","2020-09-14 21:32:21"
"9","main_image_link_2","/","2015-06-26 20:34:07","2020-09-14 21:32:21"
"10","main_image_3","","2015-06-26 20:34:07",""
"11","main_image_alt_3","標準的なWebサイトに必要な基本機能を全て装備","2015-06-26 20:34:07","2020-09-14 21:32:21"
"12","main_image_link_3","/","2015-06-26 20:34:07","2020-09-14 21:32:21"
"13","main_image_4","","2015-06-26 20:34:07",""
"14","main_image_alt_4","デザインも自由自在にカスタマイズ可能！","2015-06-26 20:34:07","2020-09-14 21:32:21"
"15","main_image_link_4","/","2015-06-26 20:34:07","2020-09-14 21:32:21"
"16","main_image_5","","2015-06-26 20:34:07",""
"17","main_image_alt_5","質問・ご相談はユーザーズフォーラムへ","2015-06-26 20:34:07","2020-09-14 21:32:21"
"18","main_image_link_5","/","2015-06-26 20:34:07","2020-09-14 21:32:21"
"19","color_main","001800","2015-06-26 20:34:07","2020-09-14 21:32:21"
"20","color_sub","001800","2015-06-26 20:34:07","2020-09-14 21:32:21"
"21","color_link","2B7BB9","2015-06-26 20:34:07","2020-09-14 21:32:21"
"22","color_hover","2B7BB9","2015-06-26 20:34:07","2020-09-14 21:32:21"
