"id","name","value","created","modified"
"1","logo","logo.png","2015-09-30 01:21:40",""
"2","logo_alt","baserCMS","2015-09-30 01:21:40","2015-09-30 23:10:42"
"3","logo_link","/","2015-09-30 01:21:40","2015-09-30 23:10:42"
"4","main_image_1","main_image_1.jpg","2015-09-30 01:21:40",""
"5","main_image_alt_1","コーポレートサイトにちょうどいい国産CMS","2015-09-30 01:21:40","2015-09-30 23:10:42"
"6","main_image_link_1","/","2015-09-30 01:21:40","2015-09-30 23:10:42"
"7","main_image_2","main_image_2.jpg","2015-09-30 01:21:40",""
"8","main_image_alt_2","全て日本語の国産CMSだから、設置も更新も簡単、わかりやすい。","2015-09-30 01:21:40","2015-09-30 23:10:42"
"9","main_image_link_2","/","2015-09-30 01:21:40","2015-09-30 23:10:42"
"10","main_image_3","main_image_3.jpg","2015-09-30 01:21:40",""
"11","main_image_alt_3","標準的なWebサイトに必要な基本機能を全て装備","2015-09-30 01:21:40","2015-09-30 23:10:42"
"12","main_image_link_3","/","2015-09-30 01:21:40","2015-09-30 23:10:42"
"13","main_image_4","main_image_4.jpg","2015-09-30 01:21:40",""
"14","main_image_alt_4","デザインも自由自在にカスタマイズ可能！","2015-09-30 01:21:40","2015-09-30 23:10:42"
"15","main_image_link_4","/","2015-09-30 01:21:40","2015-09-30 23:10:42"
"16","main_image_5","","2015-09-30 01:21:40",""
"17","main_image_alt_5","質問・ご相談はユーザーズフォーラムへ","2015-09-30 01:21:40","2015-09-30 23:10:42"
"18","main_image_link_5","/","2015-09-30 01:21:40","2015-09-30 23:10:42"
"19","color_main","000000","2015-09-30 01:21:40","2015-09-30 23:10:42"
"20","color_sub","95979e","2015-09-30 01:21:40","2015-09-30 23:10:42"
"21","color_link","","2015-09-30 01:21:40","2015-09-30 23:10:42"
"22","color_hover","","2015-09-30 01:21:40","2015-09-30 23:10:42"
"23","logo_delete","0","2015-09-30 20:06:59","2015-09-30 23:10:42"
