"id","no","sort","name","user_group_id","url","auth","method","status","created","modified"
"1","1","1","システム管理","2","/baser/admin/*",,"ALL","1","2022-10-01 09:00:00",
"2","2","2","ページ管理","2","/baser/admin/baser-core/pages/*","1","ALL","1","2022-10-01 09:00:00",
"3","3","3","新着情報記事管理","2","/baser/admin/bc-blog/blog_posts/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
"4","4","4","新着情報カテゴリ管理","2","/baser/admin/bc-blog/blog_categories/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
"5","5","5","新着情報コメント一覧","2","/baser/admin/bc-blog/blog_comments/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
"6","6","6","ブログタグ管理","2","/baser/admin/bc-blog/blog_tags/*","1","ALL","1","2022-10-01 09:00:00",
"7","7","7","お問い合わせ管理","2","/baser/admin/bc-mail/mail_fields/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
"8","8","8","お問い合わせ受信メール一覧","2","/baser/admin/bc-mail/mail_messages/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
"9","9","9","アップローダー","2","/baser/admin/bc-uploader/*","1","ALL","1","2022-10-01 09:00:00",
"10","10","10","コンテンツ管理","2","/baser/admin/baser-core/contents/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
"11","11","11","リンク管理","2","/baser/admin/baser-core/content_links/*","1","ALL","1","2022-10-01 09:00:00","2022-10-01 09:00:00"
