"﻿"id"","name","value","created","modified"
"1","name","baserCMSサンプル","2019-06-11 12:24:32","2022-09-14 21:10:55"
"2","keyword","baser,CMS,コンテンツマネジメントシステム,開発支援","2019-06-11 12:24:32","2022-09-14 21:10:55"
"3","description","baserCMS（ベーサーシーエムエス）とは、直感的な操作と高いメンテナンス性を実現し、Webサイトを自由にカスタマイズできる国産CMS（コンテンツ・マネージメント・システム）です。日本人が日本人のために、みんなで作っているオープンソース・ソフトウェアです。無料で利用でき、様々なサーバーで動作可能で、インストールも簡単です。","2019-06-11 12:24:32","2022-09-14 21:10:55"
"4","address","福岡県","2019-06-11 12:24:32","2022-09-14 21:10:55"
"5","email","","2019-06-11 12:24:32","2022-09-14 21:10:55"
"6","widget_area","1","2019-06-11 12:24:32","2022-09-14 21:10:55"
"7","maintenance","0","2019-06-11 12:24:32","2022-09-14 21:10:55"
"8","mail_encode","UTF-8","2019-06-11 12:24:32","2022-09-14 21:10:55"
"9","smtp_host","","2019-06-11 12:24:32","2022-09-14 21:10:55"
"10","smtp_user","cmsadmin","2019-06-11 12:24:32","2022-09-14 21:10:55"
"11","smtp_password","demodemo","2019-06-11 12:24:32","2022-09-14 21:10:55"
"12","smtp_port","","2019-06-11 12:24:32","2022-09-14 21:10:55"
"13","formal_name","baserCMSサンプル","2019-06-11 12:24:32","2022-09-14 21:10:55"
"14","admin_list_num","10","2019-06-11 12:24:32","2022-09-14 21:10:55"
"15","google_analytics_id","","2019-06-11 12:24:32","2022-09-14 21:10:55"
"16","content_types","YTozOntzOjk6IuODluODreOCsCI7czo5OiLjg5bjg63jgrAiO3M6OToi44Oa44O844K4IjtzOjk6IuODmuODvOOCuCI7czo5OiLjg6Hjg7zjg6siO3M6OToi44Oh44O844OrIjt9","2019-06-11 12:24:32","2022-09-14 22:30:21"
"17","category_permission","","2019-06-11 12:24:32","2022-09-14 21:10:55"
"18","admin_theme","BcAdminThird","2019-06-11 12:24:32","2022-09-14 21:10:55"
"19","login_credit","1","2019-06-11 12:24:32","2022-09-14 21:10:55"
"20","first_access","","2019-06-11 12:24:32","2022-09-14 21:10:55"
"21","editor","BaserCore.BcCkeditor","2019-06-11 12:24:32","2022-09-14 21:10:55"
"22","editor_styles","#青見出し
h3 {
color:Blue;
}
#赤見出し
h3 {
color:Red;
}
#黄マーカー
span {
background-color:Yellow;
}
#緑マーカー
span {
background-color:Lime;
}
#大文字
big {}
#小文字
small {}
#コード
code {}
#削除文
del {}
#挿入文
ins {}
#引用
cite {}
#インライン
q {}","2019-06-11 12:24:32","2022-09-14 21:10:55"
"23","editor_enter_br","0","2019-06-11 12:24:32","2022-09-14 21:10:55"
"24","admin_side_banner","1","2019-06-11 12:24:32","2022-09-14 21:10:55"
"25","smtp_tls","0","2019-06-11 12:24:32","2022-09-14 21:10:55"
"26","main_site_display_name","メインサイト","2019-06-11 12:24:32","2022-09-14 21:10:55"
"27","use_site_device_setting","0","2019-06-11 12:24:32","2022-09-14 21:10:55"
"28","use_site_lang_setting","0","2019-06-11 12:24:32","2022-09-14 21:10:55"
"29","google_maps_api_key","","2019-06-11 12:27:01","2022-09-14 21:10:55"
"30","use_universal_analytics","","2019-06-11 12:27:01","2022-09-14 21:10:55"
"31","version","","2022-09-13 18:13:31","2022-09-14 21:10:55"
"32","contents_sort_last_modified","","2022-09-14 19:22:38","2022-09-14 22:27:47"
"33","mail_additional_parameters","","2022-09-14 19:35:06","2022-09-14 21:10:55"
