"id","name","value","created","modified"
"1","logo","","",""
"2","logo_alt","baserCMS","",""
"3","logo_link","/","",""
"4","main_image_1","","",""
"5","main_image_alt_1","コーポレートサイトにちょうどいい国産CMS","",""
"6","main_image_link_1","/","",""
"7","main_image_2","","",""
"8","main_image_alt_2","全て日本語の国産CMSだから、設置も更新も簡単、わかりやすい。","",""
"9","main_image_link_2","/","",""
"10","main_image_3","","",""
"11","main_image_alt_3","標準的なWebサイトに必要な基本機能を全て装備","",""
"12","main_image_link_3","/","",""
"13","main_image_4","","",""
"14","main_image_alt_4","デザインも自由自在にカスタマイズ可能！","",""
"15","main_image_link_4","/","",""
"16","main_image_5","","",""
"17","main_image_alt_5","質問・ご相談はユーザーズフォーラムへ","",""
"18","main_image_link_5","/","",""
"19","color_main","001800","",""
"20","color_sub","001800","",""
"21","color_link","2B7BB9","",""
"22","color_hover","2B7BB9","",""
